,alpha,bin center,alpha err
0,2.5086842708229042,0.9963628583654258,0.5180866765659263
1,1.3563234355293419,1.9963628583654258,0.1043927896652357
2,1.7405767817364037,2.996362858365426,0.07150837252358791
3,1.3596614012183548,3.9963628583654254,0.19452048542450628
4,1.0261356397743109,5.996362858365425,0.04158760352211373
5,1.3950157027151129,6.996362858365425,0.06570344308284436
6,1.2916258058513035,7.996362858365426,0.004499209715796277
7,0.9651115960531242,9.996362858365426,0.05805365886598733
8,0.9020026066855522,10.996362858365426,0.05897019363281446
9,0.5037080476559351,12.996362858365426,0.13260676943557273
10,0.5170476414605831,13.996362858365426,0.07085341758809234
11,0.5978756621552155,15.996362858365426,0.05099937798931174
12,0.2705512209756209,17.996362858365426,0.06475436331547922
13,-0.16835836417296568,21.996362858365426,0.0
14,-0.12214789916884103,23.996362858365426,0.0014433467318070551
15,-0.45468078625480274,26.996362858365426,0.0
16,-0.3110696039096703,30.996362858365426,0.10476689254802714
17,-0.3022462107522353,35.99636285836542,0.10990853699137346
18,-0.7130237742826524,37.99636285836542,0.0
19,-0.8082509708606037,50.99636285836542,0.0
20,-0.6888820360397616,61.99636285836542,0.0
21,-0.5016733944998459,65.99636285836543,0.0
22,-0.6320821651160663,74.99636285836543,0.0
23,-0.4975214385970561,86.99636285836543,0.0
24,-0.7420956112943047,115.99636285836543,0.0
25,-1.452958870968516,151.99636285836542,0.0
