,alpha,bin center,alpha err
0,1.5775698027437919,11.464211361157925,0.1994570557152094
1,1.3128306119667688,14.464211361157925,0.25838855006352224
2,1.1183857508251964,15.464211361157925,0.24924067517941959
3,1.1375718871456537,16.464211361157925,0.2844769193688409
4,0.8638995519465354,17.464211361157925,0.284261169473873
5,0.6819137033312843,19.464211361157925,0.3032008434784597
6,0.5158382521890367,21.464211361157925,0.17479823517904458
7,0.5848600250963261,23.464211361157925,0.28779313134706613
8,0.39613409576754066,25.464211361157925,0.2566893357756891
9,0.49343726942893795,26.464211361157925,0.2770058746398004
10,0.3350338124391757,28.464211361157925,0.2395305239110129
11,0.31893039283670144,29.464211361157925,0.23567789448733914
12,0.19079177101630654,32.46421136115793,0.2337855193815168
13,0.13774083475632776,34.46421136115793,0.23334761597497497
14,0.10549061178296656,36.46421136115793,0.21871867455490715
15,-0.024779297681617084,38.46421136115793,0.2023771265842801
16,-0.06335944247124782,39.46421136115793,0.2070806675520755
17,-0.2697928960712752,45.46421136115793,0.07741742406172253
18,-0.3710894045772177,51.46421136115793,0.10030241453389918
19,-0.27650013371317866,57.46421136115793,0.09253847040026017
20,-0.34152814751669264,64.46421136115792,0.08550460163403081
21,-0.3632388503286642,67.46421136115792,0.09727198887343541
22,-0.5821815467922716,79.46421136115792,0.03899479601647784
23,-0.6345659146171544,86.46421136115792,0.07598475372730173
24,-0.8345659025911125,92.46421136115792,0.05379585686249378
25,-0.46930066015217914,101.46421136115792,0.07132238146224566
26,-0.7569959166299283,113.46421136115792,0.07857703355249195
27,-0.6561775609574104,125.46421136115792,0.014951979754304104
28,-0.6181916832536044,148.46421136115794,0.014536163522645336
29,-0.6862854191995624,190.46421136115794,0.029659676362645437
30,-0.6250264950656313,246.46421136115794,0.031076949030892198
31,-0.6601808087077943,317.46421136115794,0.35782366381085307
