,alpha,bin center,alpha err
0,1.5834405588635423,0.9275307471763683,0.2974728358637951
1,1.062399742204603,1.9275307471763683,0.3455377877179644
2,-0.2688171284458517,2.9275307471763683,0.12032596241532643
3,0.5559668721221757,3.9275307471763687,0.45233838808188936
4,0.2141047478652516,4.927530747176369,0.14783185215015057
5,-0.13018925752925065,5.927530747176369,0.055204413886393175
6,-0.10719549181998447,8.927530747176368,0.0
7,0.17521004902299936,10.927530747176368,0.2100834631175066
8,0.2876974081865329,11.927530747176368,0.0
9,0.2706443986505909,12.927530747176368,0.0
10,-0.4615014709205303,14.927530747176368,0.3312948217433997
11,-0.17060288959580452,18.92753074717637,0.018071876241644608
12,-0.21744831709467252,24.92753074717637,0.03277793478658402
13,-0.11515677871404276,45.92753074717637,0.04851666617468988
14,-0.023637462742954318,65.92753074717636,0.00627565009517567
