,alpha,bin center,alpha err
0,0.9205457022453234,4.072463768115942,0.0
1,1.5509078469463822,6.072463768115942,0.0
2,1.1712013419728808,10.072463768115941,0.0
3,0.016781909609724963,15.072463768115941,0.0
4,0.17883238951738603,21.07246376811594,0.0
5,0.47245049168535064,24.07246376811594,0.0
6,0.14749411762560502,26.07246376811594,0.0
7,0.004679749118956138,30.07246376811594,0.0
8,1.3933416267643024,35.072463768115945,0.0
9,0.13419137557768027,41.072463768115945,0.0
10,0.02000806764104647,47.072463768115945,0.0
11,0.38633202391973553,68.07246376811594,0.0
12,-0.9138578640996313,103.07246376811594,0.0
