 980703   VLA  Jan.   29.89 1999  210.71    4.86      93.      18.  fyb+03
 980703   VLA  Jun.   20.83 1999  352.65    1.43      81.      18.  bkf01 
 980703   VLA  Jul.   19.41 1999  381.23    1.43      54.      10.  bkf01 
 980703   VLA  Sep.    4.82 1999  428.64    8.46      38.       8.  bkf01 
 980703   VLA  Nov.   24.06 1999  508.88    1.43      72.      11.  bkf01 
 980703   VLA  Mar.    5.70 2000  611.52    8.46      55.      19.  bkf01 
 980703   VLA  Oct.   28.69 2000  848.51    1.43      60.      13.  bkf01 
 980703   VLA  Dec.    3.58 2000  884.40    4.86      35.      11.  bkf01 
 980703   VLA  Dec.   28.57 2000  909.39    8.46      40.       8.  bkf01 
 980703   VLA  Feb.    3.47 2001  946.29    1.43     119.      23.  bkf01 
 980703   VLA  Feb.    8.08 2001  950.90    4.86      67.      28.  bkf01 
 980703   VLA  Mar.    5.99 2001  976.81    4.86      49.      16.  bkf01 
 980703   VLA  Mar.   15.98 2001  986.80    8.46      29.      12.  bkf01 
 980703   VLA  Apr.    1.26 2001 1003.08    1.43      83.      30.  bkf01 
