4.8e9  1.3285  2.055  0.056
4.8e9  1.4115  2.457  0.056
4.8e9  1.4945  2.96  0.06
4.8e9  1.5775  3.209  0.066
4.8e9  1.6605  2.93  0.06
4.8e9  1.7435  2.382  0.053
4.8e9  2.349  1.454  0.04
4.8e9  2.48  1.416  0.041
4.8e9  2.611  1.272  0.042
4.8e9  4.552  0.52  0.037
4.8e9  6.554  0.389  0.043
4.8e9  9.5155  0.29  0.031
4.8e9  17.356  0.193  0.041
4.8e9  21.4815  0.218  0.028
4.8e9  34.3625  0.146  0.034
4.8e9  59.3775  0.089  0.03
4.8e9  89.2955  0.095  0.036
1.4e9  8.517  0.375  0.044
1.4e9  16.3585  0.351  0.085
1.4e9  20.484  0.293  0.053
1.4e9  33.365  0.284  0.143
1.4e9  60.375  0.209  0.051
1.4e9  93.2845  0.234  0.055
15.7e9  0.356  3.44  0.38
15.7e9  0.638  4.16  0.22
15.7e9  1.553  1.64  0.13
15.7e9  2.476  1.03  0.09
15.7e9  2.645  0.94  0.09
15.7e9  3.553  0.61  0.06
15.7e9  4.581  0.56  0.05
15.7e9  5.527  0.51  0.06
15.7e9  7.586  0.45  0.05
15.7e9  10.64  0.35  0.05
15.7e9  13.58  0.31  0.07
15.7e9  24.44  0.28  0.05
15.7e9  39.44  0.23  0.05
15.7e9  59.32  0.12  0.04
5.10e9   0.67749  1.290  0.123
6.80e9   0.67749  2.570  0.160
93.0e9   0.76900  3.416  0.365
85.0e9   0.81000  3.000  0.300
93.0e9   1.00000  2.470  0.481
93.0e9   1.91400  1.189  0.327
20.7e9   1.95438  1.349  0.069
21.7e9   1.95438  1.314  0.067
19.2e9   2.00877  1.310  0.065
24.5e9   2.00877  1.280  0.064
13.5e9   2.01811  1.480  0.074
14.5e9   2.01811  1.420  0.071
5.10e9   2.03854  1.760  0.088
6.80e9   2.03854  1.820  0.091
93.0e9   2.80300  0.807  0.225
1.39e9   3.25000  0.500  0.100
20.7e9   4.71239  0.467  0.026
21.7e9   4.71239  0.488  0.029
13.5e9   4.73196  0.545  0.028
16.0e9   4.73196  0.521  0.027
5.00e9   4.74985  0.648  0.034
7.40e9   4.74985  0.607  0.032
3.19e9   4.76347  0.942  0.074
5.00e9   9.71473  0.454  0.028
7.10e9   9.71473  0.374  0.023
19.2e9   9.92480  0.399  0.030
24.5e9   9.92480  0.410  0.027
30.0e9   9.93576  0.337  0.041
37.0e9   9.93576  0.509  0.046
13.5e9   9.94673  0.390  0.027
14.5e9   9.94673  0.397  0.023
8.46e9   9.95608  0.385  0.028
1.39e9  11.60000  0.450  0.100
30.0e9  17.90353  0.133  0.065
14.0e9  17.91450  0.275  0.031
8.50e9  17.92385  0.332  0.072
5.50e9  17.95399  0.263  0.022
6.05e9  27.65017  0.242  0.018
9.77e9  27.66800  0.243  0.016
21.9e9  28.93510  0.212  0.019
14.0e9  28.95414  0.223  0.015
19.2e9  59.78386  0.159  0.020
24.5e9  59.78386  0.128  0.030
14.0e9  59.79915  0.110  0.030
8.46e9  59.80989  0.109  0.030
7.20e9  63.77799  0.137  0.016
5.79e9  63.77799  0.151  0.021
3.10e9  63.78838  0.119  0.045
