 980329   VLA  Mar.   30.23 1998    1.07    8.46     166.      50.  tfk+98
 980329   VLA  Apr.    1.13 1998    2.97    8.46     256.      16.  tfk+98
 980329   VLA  Apr.    2.15 1998    3.99    8.46      84.      23.  tfk+98
 980329   VLA  Apr.    3.14 1998    4.98    1.43      38.      45.  tfk+98
 980329   VLA  Apr.    3.14 1998    4.98    8.46     109.      47.  tfk+98
 980329   VLA  Apr.    4.11 1998    5.95    8.46     135.      21.  tfk+98
 980329   VLA  Apr.    5.12 1998    6.96    1.43      48.      33.  tfk+98
 980329   VLA  Apr.    5.12 1998    6.96    8.46     194.      26.  tfk+98
 980329  JCMT  Apr.    5.25 1998    7.09  350.00    2510.    1110.  yfh+02
 980329  JCMT  Apr.    5.25 1998    7.09  650.00   -9900.    9300.  yfh+02
 980329  JCMT  Apr.    6.18 1998    8.02  350.00    2500.    1120.  yfh+02
 980329  JCMT  Apr.    6.18 1998    8.02  650.00  -11800.    8900.  yfh+02
 980329   VLA  Apr.    6.89 1998    8.73    4.86      22.      37.  tfk+98
 980329   VLA  Apr.    6.89 1998    8.73    8.46      58.      37.  tfk+98
 980329  OVRO  Apr.    7.08 1998    8.92   90.10    1650.     700.  tfk+98
 980329  JCMT  Apr.    7.22 1998    9.06  350.00    1280.     800.  yfh+02
 980329  JCMT  Apr.    7.22 1998    9.06  650.00     100.    7500.  yfh+02
 980329  JCMT  Apr.    7.30 1998    9.14  220.00    3690.    2180.  yfh+02
 980329   VLA  Apr.    8.06 1998    9.90    4.86     146.      49.  tfk+98
 980329   VLA  Apr.    8.06 1998    9.90    8.46     179.      41.  tfk+98
 980329  JCMT  Apr.    8.16 1998   10.00  220.00    -960.    1040.  yfh+02
 980329  JCMT  Apr.    8.27 1998   10.11  350.00    2050.     940.  yfh+02
 980329  JCMT  Apr.    8.27 1998   10.11  650.00     400.    8500.  yfh+02
 980329  OVRO  Apr.    9.13 1998   10.97   90.10    1670.     850.  tfk+98
 980329  OVRO  Apr.   10.08 1998   11.92   90.10    1240.     790.  tfk+98
 980329   VLA  Apr.   11.09 1998   12.93    4.86     143.      45.  tfk+98
 980329   VLA  Apr.   11.09 1998   12.93    8.46     274.      34.  tfk+98
 980329  OVRO  Apr.   11.10 1998   12.94   90.10     720.     800.  tfk+98
 980329  JCMT  Apr.   11.30 1998   13.14  350.00    1650.     830.  yfh+02
 980329  JCMT  Apr.   11.30 1998   13.14  650.00   -1100.    5100.  yfh+02
 980329   VLA  Apr.   18.04 1998   19.88    4.86     107.      25.  tfk+98
 980329   VLA  Apr.   18.04 1998   19.88    8.46     227.      22.  tfk+98
 980329   VLA  Apr.   19.00 1998   20.84    4.86      42.      21.  tfk+98
 980329   VLA  Apr.   19.00 1998   20.84    8.46     205.      17.  tfk+98
 980329   VLA  Apr.   20.27 1998   22.11    4.86      52.      31.  tfk+98
 980329   VLA  Apr.   21.91 1998   23.75    4.86      54.      20.  tfk+98
 980329   VLA  Apr.   21.91 1998   23.75    8.46     291.      17.  tfk+98
 980329   VLA  Apr.   23.10 1998   24.94    4.86      65.      43.  tfk+98
 980329   VLA  Apr.   23.10 1998   24.94    8.46     245.      37.  tfk+98
 980329   VLA  Apr.   27.02 1998   28.86   15.00     350.     130.  tfk+98
 980329   VLA  Apr.   27.02 1998   28.86   15.00     350.     150.  tfk+98
 980329   VLA  Apr.   27.02 1998   28.86    4.86     128.      42.  tfk+98
 980329   VLA  Apr.   27.02 1998   28.86    8.46     465.      90.  tfk+98
 980329   VLA  Apr.   30.10 1998   31.94    4.86      85.      44.  tfk+98
 980329   VLA  Apr.   30.10 1998   31.94    8.46     299.      51.  tfk+98
 980329   VLA   May    4.92 1998   36.76    8.46     219.      32.  yfh+02
 980329   VLA   May    8.01 1998   39.85    4.86     291.      57.  yfh+02
 980329   VLA   May    8.01 1998   39.85    8.46     321.      43.  yfh+02
 980329   VLA  May.    8.01 1998   39.85    1.43      47.      39.  yfh+02
