59867.18771,229.01,4.95,0.37,0.618000809,1,SMA,5.63423789
59867.18771,290.01,4.97,0.69,0.85035816,1,SMA,5.63423789
59867.30347,0.8875,3.162,0.045,0.319386036,1,ASKAP,5.750011574
59867.34028,16.7,7.1,0.08,0.363902459,1,ATCA,5.78680789
59867.34028,21.2,6.07,0.1,0.319550074,1,ATCA,5.78680789
59867.34514,45,3.6,0.16,0.240831892,1,ATCA,5.79166789
59867.34514,47,3.48,0.19,0.257635401,1,ATCA,5.79166789
59867.35556,33,4.75,0.12,0.266094438,1,ATCA,5.80208789
59867.35556,35,4.38,0.12,0.249721845,1,ATCA,5.80208789
59867.65973,15.5,6.682,0.055,0.338596825,1,AMI,6.10625789
59867.67927,1.28,5.66,0.18,0.593932656,1,MeerKAT,6.12579789
59867.75309,74.26,4.994,0.052,0.50209995,1,NEOMA,6.19961789
59867.75309,89.74,4.922,0.037,0.493588736,1,NEOMA,6.19961789
59867.83632,15.5,6.841,0.053,0.34613177,1,AMI,6.28284789
59867.88607,97.5,5.315,0.036,0.268177297,1,ALMA,6.33259789
59867.90139,136.26,3.399,0.153,0.372747917,1,NEOMA,6.34791789
59867.90139,151.74,3.491,0.194,0.399383037,1,NEOMA,6.34791789
59867.98367,12.8,6.4386,0.0578,0.327077613,1,VLA,6.43019789
59867.98367,14.3,6.0417,0.0438,0.305243816,1,VLA,6.43019789
59867.98367,15.9,5.9581,0.0512,0.302272773,1,VLA,6.43019789
59867.98367,17.4,5.4398,0.0724,0.281461045,1,VLA,6.43019789
59867.98867,9,7.3193,0.0417,0.368333098,1,VLA,6.43519789
59867.98867,11,6.6601,0.055,0.337516414,1,VLA,6.43519789
59867.9929,10,7.08,0.66,0.967917352,1,ATA,6.43942789
59867.99387,5,7.1855,0.072,0.366418512,1,VLA,6.44039789
59867.99387,7,7.3665,0.0853,0.378073268,1,VLA,6.44039789
59867.99997,2.5,7.7578,0.0817,0.396400734,1,VLA,6.44649789
59867.99997,3.5,7.6613,0.0739,0.390128189,1,VLA,6.44649789
59868.20708,229.54,4.19,0.78,0.885415722,1,SMA,6.65360789
59868.61821,15.5,5.994,0.068,0.307317572,1,AMI,7.06473789
59868.84829,3,7.3,0.54,0.908019824,1,ATA,7.29481789
