8.46e9 	 117.55   355.0    47.0
1.43e9 	 117.56   206.0    63.0
8.46e9 	 118.81   370.0    70.0
8.46e9 	 122.50   350.0    47.0
1.43e9 	 122.51   216.0    67.0
1.40e9 	 123.32   360.0    90.0
4.86e9 	 126.74   400.0    41.0
8.46e9 	 126.74   370.0    39.0
1.43e9 	 126.78   333.0    65.0
1.41e9 	 137.32   260.0   100.0
1.44e9 	 140.45   -99.0    83.0
4.86e9 	 140.46   380.0    40.0
8.46e9 	 140.46   330.0    45.0
4.86e9 	 148.72   420.0    44.0
8.46e9 	 148.72   310.0    56.0
1.44e9 	 148.73   217.0   105.0
1.44e9 	 157.32   381.0   127.0
4.86e9 	 157.33   350.0    40.0
8.46e9 	 157.33   280.0    37.0
1.43e9 	 165.48   250.0    66.0
4.86e9 	 165.50   300.0    34.0
8.46e9 	 165.50   240.0    34.0
4.86e9 	 170.66   280.0    31.0
8.46e9 	 170.66   300.0    37.0
4.86e9 	 181.29   385.0    32.0
8.46e9 	 181.29   240.0    24.0
1.43e9 	 183.19   338.0    63.0
1.43e9 	 186.42   497.0    51.0
1.43e9 	 189.06   376.0    93.0
1.44e9 	 192.75   -99.0    93.0
4.86e9 	 194.25   325.0    37.0
8.46e9 	 194.25   240.0    30.0
1.43e9 	 194.55   303.0    53.0
1.43e9 	 197.56   199.0    62.0
1.43e9 	 198.14   271.0    74.0
1.44e9 	 200.05   208.0    77.0
1.43e9 	 201.26   155.0    43.0
1.43e9 	 202.21   170.0    50.0
1.44e9 	 203.50   -99.0    62.0
1.43e9 	 205.42   184.0    42.0
1.44e9 	 206.49   -99.0    71.0
1.44e9 	 211.75   -99.0    68.0
4.86e9 	 214.24   180.0    35.0
8.46e9 	 214.24   170.0    30.0
1.44e9 	 216.25   -99.0    64.0
4.86e9 	 238.18   220.0    35.0
8.46e9 	 238.18   160.0    30.0
4.86e9 	 255.00   275.0    53.0
4.86e9 	 257.08   235.0    41.0
8.46e9 	 257.08   150.0    36.0
4.86e9 	 263.87   220.0    50.0
8.47e9 	 263.87   -99.0    50.0
4.87e9 	 267.39   -99.0    80.0
8.47e9 	 267.39   -99.0    50.0
4.86e9 	 275.14   200.0    24.0
8.46e9 	 275.14    95.0    24.0
1.43e9 	 290.53   274.0    27.0
4.86e9 	 309.19   165.0    17.0
8.46e9 	 309.19   105.0    15.0
1.43e9 	 313.16   434.0    24.0
1.43e9 	 353.76   249.0    60.0
1.43e9 	 358.62   204.0    30.0
4.86e9 	 369.62   125.0    28.0
8.47e9 	 369.62   -99.0    25.0
4.87e9 	 408.93   104.0    44.0
8.47e9 	 408.93   -99.0    37.0
1.44e9 	 436.89   -99.0    32.0
1.44e9 	 445.83   -99.0    33.0
8.47e9	1215.38     8.0    19.0
